SMILES,NumRotor,Temp,ConfEntropy
CCCC,1,298.15,26.366999999999997
CCCC,1,320.0,26.503
CCCC,1,360.0,26.691999999999997
CCCC,1,400.0,26.901999999999997
CCCCC,2,298.15,33.696
CCCCC,2,320.0,34.063
CCCCC,2,360.0,34.554
CCCCC,2,400.0,35.042
CCCCCC,3,298.15,40.507
CCCCCC,3,320.0,40.955999999999996
CCCCCC,3,360.0,41.95
CCCCCC,3,400.0,42.372
CCCCCCC,4,298.15,45.272
CCCCCCC,4,320.0,46.19
CCCCCCC,4,360.0,46.568999999999996
CCCCCCC,4,400.0,47.994
CCCCCCCC,5,298.15,48.827
CCCCCCCC,5,320.0,50.023999999999994
CCCCCCCC,5,360.0,50.556000000000004
CCCCCCCC,5,400.0,51.99100000000001
CCCCCCCCC,6,298.15,52.376000000000005
CCCCCCCCC,6,320.0,53.001000000000005
CCCCCCCCC,6,360.0,54.034
CCCCCCCCC,6,400.0,54.622
CCCCCCCCCC,7,298.15,53.596000000000004
CCCCCCCCCC,7,320.0,54.284
CCCCCCCCCC,7,360.0,55.925
CCCCCCCCCC,7,400.0,56.464
CCCCCCCCCCC,8,298.15,54.876999999999995
CCCCCCCCCCC,8,320.0,55.745
CCCCCCCCCCC,8,360.0,57.103
CCCCCCCCCCC,8,400.0,58.623000000000005
CCCCCCCCCCCC,9,298.15,56.501000000000005
CCCCCCCCCCCC,9,320.0,57.82
CCCCCCCCCCCC,9,360.0,59.495
CCCCCCCCCCCC,9,400.0,60.53
CCCCCCCCCCCCC,10,298.15,55.418
CCCCCCCCCCCCC,10,320.0,57.52
CCCCCCCCCCCCC,10,360.0,58.516999999999996
CCCCCCCCCCCCC,10,400.0,59.589
CCCCCCCCCCCCCC,11,298.15,56.016999999999996
CCCCCCCCCCCCCC,11,320.0,57.628
CCCCCCCCCCCCCC,11,360.0,59.78
CCCCCCCCCCCCCC,11,400.0,61.549
CCCCCCCCCCCCCCC,12,298.15,55.586999999999996
CCCCCCCCCCCCCCC,12,320.0,57.858999999999995
CCCCCCCCCCCCCCC,12,360.0,59.782
CCCCCCCCCCCCCCC,12,400.0,62.058
