# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename
1,3-(1-methylpyrrolidin-2-yl)pyridine,C10H14N2,0,1,54-11-5,917,942,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3",SNICXCGAKADSCV-UHFFFAOYSA-N,,,,131.48,,,,431.74,1,nicotine
2,2-acetyloxybenzoic acid,C9H8O4,0,1,50-78-2,2157,2244,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,,,,-624.49,,,,450.47,3,aspirin
3,"1,10-dichlorodecane",C10H20Cl2,0,1,2162-98-3,67652,75101,InChI=1S/C10H20Cl2/c11-9-7-5-3-1-2-4-6-8-10-12/h1-10H2,RBBNTRDPSVZESY-UHFFFAOYSA-N,,,,-309.58,,,,562.09,9,110-dichlorodecane
4,"1,1,1,2-tetrafluoroethane",C2H2F4,0,1,811-97-2,12577,13129,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2",LVGUZGTVOIAKKC-UHFFFAOYSA-N,-895.79,0,22,-908.43,316.2,0,22,316.87,0,1112-tetrafluoroethane
5,"1,1,1,3,3,3-hexafluoropropan-2-ol",C3H2F6O,0,1,920-66-1,12941,13529,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H",BYEAHWXPCBROCE-UHFFFAOYSA-N,,,,-1543.86,,,,398.15,0,111333-hexafluoro-2-propanol
6,"1,1,1-trichloroethane",C2H3Cl3,0,1,71-55-6,6042,6278,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,-142.3,0,22,-147.25,320.1,0,22,329.35,0,111-trichloroethane
7,"1,1,1-trichloro-2,2,2-trifluoroethane",C2Cl3F3,0,1,354-58-5,9258,9635,"InChI=1S/C2Cl3F3/c3-1(4,5)2(6,7)8",BOSAWIQFTJIYIS-UHFFFAOYSA-N,-755.8,0,22,-754.66,370.69,0,22,377.15,0,111-trichlorotrifluoroethane
8,"1,1,1-trifluorodisilane",F3H3Si2,0,1,15195-26-3,10323465,,"InChI=1S/F3H3Si2/c1-5(2,3)4/h4H3",,,,,-1151.13,,,,349.89,0,111-trifluorodisilane
9,"1,1,1-trifluoroethane",C2H3F3,0,1,420-46-2,9484,9868,"InChI=1S/C2H3F3/c1-2(3,4)5/h1H3",UJPMYEOUBPIPHQ-UHFFFAOYSA-N,-736.4,0,22,-752.01,279.78,0,22,295.74,0,111-trifluoroethane
10,"1,1,2,2-tetrabromoethane",C2H2Br4,0,1,79-27-6,6339,6588,InChI=1S/C2H2Br4/c3-1(4)2(5)6/h1-2H,QXSZNDIIPUOQMB-UHFFFAOYSA-N,10.88,0,22,33.99,400.1,0,22,406.86,1,1122-tetrabromoethane
11,"1,1,2,2-tetrachloroethane",C2H2Cl4,0,1,79-34-5,6342,6591,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,QPFMBZIOSGYJDE-UHFFFAOYSA-N,-149.4,0,22,-158.27,362.71,0,22,360.66,1,1122-tetrachloroethane
12,"1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,0,1,76-13-1,6188,6428,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",AJDIZQLSFPQPEY-UHFFFAOYSA-N,-759.29,0,22,-725.88,386.8,0,22,377.72,1,112-trichloro-122-trifluoro-ethane
13,"1,1,2-trichloroethane",C2H3Cl3,0,1,79-00-5,6326,6574,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",UBOXGVDOUJQMTN-UHFFFAOYSA-N,-142,0,22,-148.17,337.1,0,22,334.64,1,112-trichloroethane
14,"1,1,3,3-tetraethylurea",C9H20N2O,0,1,1187-03-7,13811,14465,"InChI=1S/C9H20N2O/c1-5-10(6-2)9(12)11(7-3)8-4/h5-8H2,1-4H3",UWHSPZZUAYSGTB-UHFFFAOYSA-N,-316.4,0,19,-312.19,,,,513.06,4,1133-tetraethylurea
15,"1,1-dichloro-2,2-difluoroethene",C2Cl2F2,0,1,79-35-6,21106435,6592,InChI=1S/C2Cl2F2/c3-1(4)2(5)6,QDGONURINHVBEW-UHFFFAOYSA-N,-336,0,38,-354.83,,,,325.95,0,11-dichloro-22-difluoroethene
16,"1,1-dichloro-2-fluoroprop-1-ene",C3H3Cl2F,0,1,430-95-5,454567,521133,InChI=1S/C3H3Cl2F/c1-2(6)3(4)5/h1H3,BJSMMNZAHNXJCF-UHFFFAOYSA-N,,,,-216.39,,,,346.58,0,11-dichloro-2-fluoropropene
17,"1,1-dichloroethane",C2H4Cl2,0,1,75-34-3,6125,6365,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",SCYULBFZEHDVBN-UHFFFAOYSA-N,-129.41,0,22,-133.98,305.01,0,22,303.91,0,11-dichloroethane
18,"1,1-dichloroethene",C2H2Cl2,0,1,75-35-4,13835316,6366,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,LGXVIGDEPROXKC-UHFFFAOYSA-N,2.6,0,22,1.89,287.87,0,22,287.75,0,11-dichloroethene
20,"1,1-difluorocyclohexane",C6H10F2,0,1,371-90-4,144283,164586,InChI=1S/C6H10F2/c7-6(8)4-2-1-3-5-6/h1-5H2,ZORQXIQZAOLNGE-UHFFFAOYSA-N,,,,-571.92,,,,345.22,0,11-difluorocyclohexane
21,"1,1-difluoroethane",C2H4F2,0,1,75-37-6,6128,6368,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",NPNPZTNLOVBDOC-UHFFFAOYSA-N,-497,0,22,-502.71,282.4,0,22,281.33,0,11-difluoroethane
22,"1,1-difluoroethene",C2H2F2,0,1,75-38-7,13836545,6369,InChI=1S/C2H2F2/c1-2(3)4/h1H2,BQCIDUSAKPWEOX-UHFFFAOYSA-N,-328.96,0,22,-349.47,266.1,0,22,264.55,0,11-difluoroethene
23,"1,1-difluoroprop-1-ene",C3H4F2,0,1,430-63-7,454565,521131,"InChI=1S/C3H4F2/c1-2-3(4)5/h2H,1H3",YHLIEGBCOUQKHU-UHFFFAOYSA-N,,,,-375.56,,,,304.76,0,11-difluoropropene
24,(E)-difluorodiazene,F2N2,0,1,13776-62-0,4516471,5462838,InChI=1S/F2N2/c1-3-4-2/b4-3+,DUQAODNTUBJRGF-ONEGZZNKSA-N,81.17,0,38,75.85,262.66,0,38,261.02,0,E-difluorodiazene
25,(Z)-difluorodiazene,F2N2,0,1,13812-43-6,10326121,5364290,InChI=1S/F2N2/c1-3-4-2/b4-3-,DUQAODNTUBJRGF-ARJAWSKDSA-N,68.62,0,38,70.8,259.81,0,38,261.87,0,Z-difluorodiazene
