Receptor,PathFeatures
5.0,"['866333011011', '666333110110', '667333100100']"
0.0,"['866333011012', '666333112121', '668333120210']"
0.0,"['866444000000', '667443001001', '676433011011', '768333110110']"
6.0,"['766343001001', '668433011011', '686334111111', '866344110110', '667444100100', '6716444000000', '7168443000000']"
6.0,"['767333000000', '676334000000', '766343001001', '668433011011', '686334111111', '866344110110', '667444100100', '6716444000000', '7168443000000']"
3.0,"['866444000000', '666444000000', '666444000000', '666444000000', '668444000000']"
1.0,"['766344011011', '666444111111', '667443110110', '676433100100', '768333000000']"
2.0,"['866333011022', '6616335111221', '6166353111212', '1666533111122', '668333110220']"
5.0,"['766333001001', '666333011011', '667333110110']"
1.0,"['766333011011', '666333110110', '668333100100']"
1.0,"['766443112111', '666433122111', '666333220110', '668333200100']"
6.0,"['766333110110', '667333100100', '676334000000', '766344002001', '666444022011', '666444222111', '666443223111', '666433233111', '667333333111', '6716334330110', '7168343300100']"
4.0,"['776333000000', '766333001001', '667333011011']"
1.0,"['766343011011', '667433111111', '676334110110', '766343100100', '667433000000', '676334000000', '766343000000', '668433000000']"
0.0,"['766334000000', '667343001001', '676433011011', '768333110110']"
3.0,"['866443001001', '666433011011', '668333110110']"
0.0,"['866444011011', '666444111112', '666443112121', '668433120210']"
1.0,"['766334112122', '666343122221', '666433220210', '668333200100']"
3.0,"['866333011022', '666334111221', '668344111211', '686444111111', '866443111112', '666433111122', '668333110220']"
3.0,"['866333011022', '666334111221', '668344111211']"
4.0,"['766334000000', '667343001001', '677433011011']"
6.0,"['766334000000', '667344000000', '6716444000000', '7168443000000']"
0.0,"['766344000000', '667443001001', '676433011011', '768333110110']"
1.0,"['866333000000', '666333000000', '668333000000']"
1.0,"['866333001001', '666333011011', '667333110110', '676334102102', '766343022023', '666433222232', '666334222321', '666344222211', '666443222111', '666433222111', '666333222111', '666333222111', '666333222111', '666334222112', '667343220120', '676433203201', '766333033011', '666333330110', '668333300100']"
1.0,"['866333001001', '666333011011', '667333110110', '676334102102', '766343022021', '666433222211', '666333222111', '666333222111', '666333222111', '666334222111', '666344222111', '666443222112', '666433222123', '666334222232', '667343220320', '676433203201', '766333033011', '666333330110', '668333300100']"
4.0,"['866444001001', '666444011011', '667444111111']"
3.0,"['866444001001', '666444011011', '666444110110', '668444100100']"
6.0,"['766444000000', '6616444000000', '61616444000000', '16166444000000', '1666444000000', '667444000000', '6716444000000', '7168443000000']"
1.0,"['866333011011', '666333110110', '668333100100']"
4.0,"['766333001001', '666333011011', '668333110110', '686334100100', '866344000000', '668444000000', '686444000000', '866444000000', '668444000000', '686444000000', '866444000000', '668443000000', '686433002001', '866333022011', '666333220110', '667333200100', '676333003001', '767333033011']"
1.0,"['766334000000', '666343000000', '668433000000']"
1.0,"['866333001001', '666333011011', '666333110110', '668333100100']"
1.0,"['866444011022', '666443110220', '668433100200']"
4.0,"['766334000000', '666343001001', '667433011011']"
1.0,"['767333000000', '676333000000', '768333000000']"
6.0,"['766444000000', '667444000000', '6716444000000', '7168443000000']"
1.0,"['866444000000', '666443000000', '668433000000']"
1.0,"['866333011022', '666334111221', '667344111211', '676444110110', '766443100100', '668433000000']"
2.0,"['766344112121', '667444122211', '676444222111', '766443222112', '666433222122', '668333220220']"
0.0,"['766344001001', '666443011011', '668433110110']"
0.0,"['766333110110', '666333102101', '666333022011', '668333220110']"
1.0,"['766333000000', '666333000000', '668333000000']"
1.0,"['776333000000', '766333000000', '668333000000']"
3.0,"['866333011011', '666333112111', '666333122111', '668333220110']"
1.0,"['766343001001', '666433011011', '666333111111', '666334110110', '667343100100', '676433002001', '766333022011', '666333222111', '666333220110', '668333200100']"
1.0,"['866444000000', '666444000000', '667443000000', '676433000000', '768333000000']"
4.0,"['766344000000', '666443001001', '667433011011']"
4.0,"['866334001001', '666344011012', '667444111122']"
4.0,"['866444000000', '666443001001', '667433011011']"
5.0,"['866444000000', '667444000000', '676444000000', '766444000000', '667444000000']"
2.0,"['866444000000', '667444000000', '676444000000', '766444000000', '667444000000', '676444000000', '766444000000', '668444000000']"
1.0,"['766334000000', '667343000000', '676433000000', '768333000000']"
4.0,"['767333110110', '676333102101', '767333022011']"
1.0,"['766333110110', '666333100100', '668333000000']"
0.0,"['866444001001', '667443011012', '676433112121', '768333120210']"
3.0,"['766344011011', '666444111111', '666444111111', '668443110110']"
1.0,"['776433000000', '767333000000', '676334001001', '768344011011', '686444111111', '866444110110', '668443100100', '686433000000', '868333000000']"
4.0,"['866333011011', '666333112111', '667333122111']"
1.0,"['866334000000', '666344000000', '666444000000', '666444001001', '666444011012', '666444111122', '666444112222', '666444122222', '666444222222', '666444223221', '666444233211', '666444333111', '668443330110', '686433300100', '866333004001', '666333044011', '666333444111', '666333444111', '666333440110', '668333400100', '686334005001', '866344055011', '666444555112', '666444556121', '666444566211', '666444666112', '666444667122', '666444677222', '666444777221', '666444770210', '666444700100', '666444000000', '666443000000', '668433000000']"
1.0,"['866334000000', '666344000000', '666444000000', '666444001001', '666444011012', '666444111122', '666444112222', '666444122221', '666444222211', '666444222112', '666444223121', '666444233211', '668443330110', '686433300100', '866333004001', '666333044011', '666333444111', '666333444111', '666333440110', '668333400100', '686334005001', '866344055011', '666444555112', '666444555122', '666444556222', '666444566222', '666444666222', '666444666222', '666444667221', '666444670210', '666444700100', '666444000000', '666443000000', '668433000000']"
