# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename,Ring,PiStack,HBond,NumRotors,NumMethyl,SG
1,3-(1-methylpyrrolidin-2-yl)pyridine,C10H14N2,0.0,1.0,54-11-5,917,942.0,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3",SNICXCGAKADSCV-UHFFFAOYSA-N,,,,131.48,,,,431.74,1.0,nicotine,2.0,0.0,0.0,1.0,1.0,0.0
2,2-acetyloxybenzoic acid,C9H8O4,0.0,1.0,50-78-2,2157,2244.0,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,,,,-624.49,,,,450.47,3.0,aspirin,0.0,0.0,3.0,3.0,1.0,0.0
3,"1,10-dichlorodecane",C10H20Cl2,0.0,1.0,2162-98-3,67652,75101.0,InChI=1S/C10H20Cl2/c11-9-7-5-3-1-2-4-6-8-10-12/h1-10H2,RBBNTRDPSVZESY-UHFFFAOYSA-N,,,,-309.58,,,,562.09,9.0,110-dichlorodecane,0.0,0.0,0.0,9.0,0.0,0.0
4,"1,1,1,2-tetrafluoroethane",C2H2F4,0.0,1.0,811-97-2,12577,13129.0,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2",LVGUZGTVOIAKKC-UHFFFAOYSA-N,-895.79,0.0,22.0,-908.43,316.2,0.0,22.0,316.87,0.0,1112-tetrafluoroethane,0.0,0.0,0.0,1.0,0.0,0.0
5,"1,1,1,3,3,3-hexafluoropropan-2-ol",C3H2F6O,0.0,1.0,920-66-1,12941,13529.0,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H",BYEAHWXPCBROCE-UHFFFAOYSA-N,,,,-1543.86,,,,398.15,0.0,111333-hexafluoro-2-propanol,0.0,0.0,0.0,2.0,0.0,0.0
6,"1,1,1-trichloroethane",C2H3Cl3,0.0,1.0,71-55-6,6042,6278.0,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,-142.3,0.0,22.0,-147.25,320.1,0.0,22.0,329.35,0.0,111-trichloroethane,0.0,0.0,0.0,0.0,1.0,0.0
7,"1,1,1-trichloro-2,2,2-trifluoroethane",C2Cl3F3,0.0,1.0,354-58-5,9258,9635.0,"InChI=1S/C2Cl3F3/c3-1(4,5)2(6,7)8",BOSAWIQFTJIYIS-UHFFFAOYSA-N,-755.8,0.0,22.0,-754.66,370.69,0.0,22.0,377.15,0.0,111-trichlorotrifluoroethane,0.0,0.0,0.0,1.0,0.0,0.0
8,"1,1,1-trifluorodisilane",F3H3Si2,0.0,1.0,15195-26-3,10323465,,"InChI=1S/F3H3Si2/c1-5(2,3)4/h4H3",,,,,-1151.13,,,,349.89,0.0,111-trifluorodisilane,0.0,0.0,0.0,0.0,0.0,0.0
9,"1,1,1-trifluoroethane",C2H3F3,0.0,1.0,420-46-2,9484,9868.0,"InChI=1S/C2H3F3/c1-2(3,4)5/h1H3",UJPMYEOUBPIPHQ-UHFFFAOYSA-N,-736.4,0.0,22.0,-752.01,279.78,0.0,22.0,295.74,0.0,111-trifluoroethane,0.0,0.0,0.0,0.0,1.0,0.0
10,"1,1,2,2-tetrabromoethane",C2H2Br4,0.0,1.0,79-27-6,6339,6588.0,InChI=1S/C2H2Br4/c3-1(4)2(5)6/h1-2H,QXSZNDIIPUOQMB-UHFFFAOYSA-N,10.88,0.0,22.0,33.99,400.1,0.0,22.0,406.86,1.0,1122-tetrabromoethane,0.0,0.0,0.0,1.0,0.0,0.0
11,"1,1,2,2-tetrachloroethane",C2H2Cl4,0.0,1.0,79-34-5,6342,6591.0,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,QPFMBZIOSGYJDE-UHFFFAOYSA-N,-149.4,0.0,22.0,-158.27,362.71,0.0,22.0,360.66,1.0,1122-tetrachloroethane,0.0,0.0,0.0,1.0,0.0,0.0
12,"1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,0.0,1.0,76-13-1,6188,6428.0,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",AJDIZQLSFPQPEY-UHFFFAOYSA-N,-759.29,0.0,22.0,-725.88,386.8,0.0,22.0,377.72,1.0,112-trichloro-122-trifluoro-ethane,0.0,0.0,0.0,1.0,0.0,0.0
13,"1,1,2-trichloroethane",C2H3Cl3,0.0,1.0,79-00-5,6326,6574.0,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",UBOXGVDOUJQMTN-UHFFFAOYSA-N,-142.0,0.0,22.0,-148.17,337.1,0.0,22.0,334.64,1.0,112-trichloroethane,0.0,0.0,0.0,1.0,0.0,0.0
