FunctionalGroup,PathFeature
5,"['668333100100', '686333002001', '866333022011', '668333220110', '686334200100', '866343003001']"
3,"['667333110210', '676333100100', '767333000000', '676334000000', '766343002001', '668433022011', '686334222111', '866344220110', '667444200100', '6716444000000', '7166443003001']"
0,"['668343100100', '686433000000', '867333000000', '676334002001', '766344022011', '666444222111', '667443220110', '676433200100', '768333000000', '686334000000', '866343003001']"
7,"['666344122112', '666443223121', '667433233211', '676334330110', '766343304101']"
4,"['666334102101', '666344022011', '666443223111']"
5,"['668333100100', '686334002001', '866344022011', '666444220110', '668443200100', '686433000000', '866333003001']"
6,"['6168354100100', '1686544000000', '866444002001', '666444022011', '6614444220110', '6146443203101']"
5,"['668333100100', '686334002001', '866344022011', '666444220110', '666444200100', '666444000000', '668443000000', '686433000000', '866333003001']"
6,"['667333100100', '678333000000', '786334000000', '866344000000', '666444000000', '666444000000', '668443000000', '687433000000', '876333000000', '766333002001']"
6,"['667333100100', '678333000000', '786334000000', '866344000000', '666444000000', '666444000000', '668443000000', '687433000000', '876333000000', '766333002001', '666333022012']"
5,"['668333100100', '686334000000', '866344002001', '668444022011', '686444222111', '867443223111']"
5,"['668333100100', '686334000000', '866344002001', '668444022011', '686444222111', '867443223111', '676433233112']"
6,"['668344100100', '686444000000', '866443002001']"
9,"['667333100100', '6716334000000', '7166343002001']"
5,"['668333100100', '686334000000', '866344002001', '666443020010', '668433200100', '686334000000', '866343003001']"
6,"['686334100100', '866343000000', '666433000000', '666334000000', '668343000000', '686433002001']"
4,"['666334100100', '667344000000', '6716444000000', '7166443002001']"
5,"['668343100100', '686433000000', '866334000000', '668343000000', '686433002001', '866333022011', '666333222111', '666333222111', '666334220110', '666344200100', '667443000000', '676433000000', '766333003001']"
7,"['667343102101', '676433022011', '766334222112', '666344223122', '666443233222']"
7,"['766334111211', '666344110110', '666443102101']"
6,"['6814334100100', '8148344000000', '14814444000000', '8148443000000', '1486433002001']"
9,"['667333100100', '676334000000', '766344000000', '666444000000', '667443000000', '676433000000', '766333002001']"
4,"['666343122111', '666433222111', '666333223111', '666333233111', '667333330110', '676333304101', '766333044012']"
4,"['666343100100', '666434000000', '666343002001', '666433022012']"
4,"['666343100100', '666434000000', '666343002001']"
4,"['666334110210', '666343100100', '666434000000', '666343002001', '666433022012']"
7,"['667333111211', '676334110110', '766344100100', '667443000000', '676433000000', '766333002001']"
9,"['676333100100', '766334000000', '666344000000', '666443000000', '667433000000', '676333002001']"
4,"['666333102101', '666333022011', '666333223111']"
5,"['668333100100', '686333000000', '866333000000', '667333000000', '6716334000000', '7166343002001']"
4,"['666333102101', '666333022012', '666333223121', '666333230210', '666333304101', '666333044011', '666333444112']"
4,"['666333102101', '666333022012', '666333223121', '666333230210', '666333304101']"
4,"['666333111211', '666333110110', '666333102101', '666333022012', '666333223121', '666333230210', '666333304101', '666333044011', '666333444112']"
6,"['668344100100', '686444002001', '866443022011', '666433222111', '666333222112', '666334223121', '666344233212', '666443334122', '667433344221', '676333444212']"
4,"['666333100100', '666333000000', '666333002001']"
6,"['686334100100', '866344000000', '666443002001']"
6,"['686334100100', '866344000000', '668443000000', '686433002001', '866333022011', '666333220110', '667333200100', '676334000000', '766343003001']"
6,"['686334100100', '866344000000', '668443000000', '686433002001']"
5,"['666344100100', '666443000000', '668433000000', '687333000000', '876333000000', '766333002001']"
6,"['667333100100', '676334000000', '766344000000', '668444000000', '686444000000', '866444000000', '667443000000', '676433000000', '766333002001']"
9,"['667333100100', '677333002001', '776334022012', '766343223122']"
5,"['668343100100', '686433000000', '866334000000', '667343000000', '676433000000', '766334000000', '667343000000', '676433000000', '766334000000', '666343002001', '666433022012', '666333222123']"
5,"['668343100100', '686433000000', '866334000000', '667343000000', '676433000000', '766334000000', '667343000000', '676433000000', '766334000000', '666343002001', '666433022012', '666333222123', '666333223233']"
5,"['668343100100', '686433000000', '866334000000', '667343000000', '676433000000', '766334000000', '667343000000', '676433000000', '766334000000', '666343002001', '666433022012']"
6,"['6714334100100', '7148344000000', '14814444000000', '8147443000000', '1476433002001']"
9,"['667333100100', '676334000000', '766343002001', '666433022011', '666333222111', '666334220110', '667343200100', '676433000000', '766333003001']"
9,"['666333122111', '666333220110', '667333200100', '677333000000', '776333000000', '766333003001']"
4,"['666334102101', '666344022011', '666443220110', '666433203101']"
5,"['668333100100', '686334002001', '866344022011', '666443220110', '666433200100', '666334000000', '668343000000', '686433000000', '866333003001']"
6,"['6158344100100', '15815444000000', '8158444000000', '15815444000000', '8158444000000', '15815444000000', '8156443002001']"
7,"['667333111211', '676334110110', '766343100100', '667433000000', '676333002001']"
5,"['668333100100', '686333000000', '866333000000', '666334000000', '666343002001']"
6,"['668344100100', '686444000000', '866444002001', '666443020010', '667433200100', '676333003001']"
6,"['668333110210', '686334100100', '866343000000', '667433000000', '676333002001', '766333022012']"
6,"['668333110210', '686334100100', '866343000000', '667433000000', '676333002001']"
5,"['668333100100', '686334000000', '866343002001', '667433022011', '6716334220110', '7166343203101']"
4,"['666334100100', '6634344000000', '6346443002001']"
6,"['676333122111', '768333220110', '686334200100', '866344000000', '667444000000', '676444000000', '766444000000', '668443000000', '686433003001', '866333033011', '666333333111', '666333334111']"
6,"['686334100100', '866344000000', '667444000000', '676444000000', '766444000000', '668443000000', '686433002001']"
6,"['676333100100', '766334000000', '668343000000', '686433002001', '866333022011', '668333220110', '686334200100', '866343000000', '667433000000', '676333003001']"
6,"['676333100100', '766334000000', '668343000000', '686433002001', '866333022011', '668333220110', '686334200100', '866343000000', '667433000000', '676333003001', '766333033012']"
9,"['676333100100', '766334000000', '666344000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666443000000', '667433000000', '676333002001']"
4,"['666333100100', '666334000000', '666343000000', '666433002001']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '666443000000', '666433000000', '666333002001']"
4,"['666333102101', '666333022011', '666333220110', '666333203101']"
5,"['666333111211', '668333110110', '686333100100', '866334000000', '666344000000', '666443000000', '668433000000', '686333002001', '866333022011', '666333222112']"
4,"['666334111211', '6634344110110', '6346443102101']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '668443000000', '686433002001']"
3,"['676333100100', '767333000000', '676333002001', '766333022012', '667333223121', '676333233212', '766333334121', '667333340210', '676333400100', '767333000000', '676333005001']"
4,"['666334100100', '666344000000', '666444000000', '666443000000', '666433002001']"
4,"['666334100100', '666344000000', '666444002001', '666443022012']"
6,"['686334100100', '866343000000', '667433000000', '676333002001']"
6,"['686334100100', '866343000000', '666433000000', '666333002001']"
5,"['668333100100', '686334000000', '866343002001', '666433022011', '666333222111', '666334220110', '668343200100', '686433000000', '866333003001']"
9,"['666343100100', '667433000000', '676334000000', '766344000000', '666443002001']"
8,"['766333102101', '666333022011', '666333220110', '667333203101']"
8,"['766333102101', '666333022011', '666333220110', '667333203101', '676333033012']"
8,"['676333110210', '766333102101', '666333022011', '666333220110', '667333203101', '676333033012']"
5,"['668343100100', '686433000000', '866333000000', '666333000000', '666333000000', '666333000000', '666333000000', '668333000000', '686334000000', '866343002001']"
4,"['666334102101', '666344022012', '666443223122']"
4,"['666334100100', '666344000000', '666443000000', '666433000000', '6615335000000', '6156353002001']"
6,"['668344100100', '686444000000', '866444002001', '666444022011', '666443220110', '667433200100', '677333000000', '776333003001']"
6,"['6815335102101', '8157354022011', '15715545222111', '7156453223111']"
6,"['686334100100', '866344000000', '668443000000', '686433002001', '866333022011', '666333220110', '667333200100', '676333003001']"
9,"['667333100100', '676333002001', '767333022011', '676333222111', '766333220110', '667333200100', '676333003001', '767333033011', '676333333111', '766333330110', '667333300100', '676333004001', '767333044011', '676333444111', '766333440110', '667333400100', '676333005001']"
3,"['676333100100', '767333000000', '676334000000', '766344000000', '666444000000', '666444000000', '667443000000', '676433000000', '767333000000', '676333002001']"
5,"['668333100100', '686334000000', '866343000000', '666433000000', '666334002001', '666344022012', '666443223121', '667433233211', '676333334111']"
6,"['6815335111212', '8157354112121', '15715545122211', '7157453220110', '1577533200100', '776333000000', '766333003001']"
6,"['686334100100', '866344000000', '667443002001', '676433022011', '766333222112']"
9,"['667333100100', '676334000000', '766343000000', '667433000000', '677333000000', '776333000000', '766333002001']"
5,"['668333100100', '686333002001', '866333022011', '666333222111', '666333222111', '666333220110', '666333200100', '666333003001', '666333033011', '666333333111', '666333333111', '668333330110', '686333300100', '866333004001']"
6,"['668343100100', '687433000000', '876333002001', '766334022012', '666343223121']"
4,"['666334100100', '666344002001', '667443022011', '676434220110', '766344200100', '668443000000', '686433000000', '866333003001']"
3,"['676333100100', '767333000000', '676334000000', '766343002001', '667433022011', '676333222111', '766334220110', '667343200100', '676433000000', '767333000000', '676333003001']"
4,"['666334100100', '666344000000', '666443002001']"
9,"['676333100100', '766333002001', '666333022011', '666333223111', '666333233111', '666333330110', '667333300100', '676333004001']"
8,"['667333102101', '676334022011', '766343223111']"
6,"['6816335100100', '8166353002001']"
6,"['6148344100100', '14815446002004', '8157463022043']"
6,"['6816335100100', '8166353002001', '1666533022012']"
5,"['686333100100', '866334002001', '667343022011', '676433223111']"
5,"['668343100100', '686433000000', '866333002001', '666333022011', '667333220110', '676333200100', '766333003001']"
6,"['686334100100', '866343000000', '667433000000', '676334000000', '766343002001']"
9,"['676333100100', '766334000000', '666344000000', '666444000000', '666444000000', '666443000000', '667433000000', '676333002001']"
9,"['676333100100', '766334000000', '666344000000', '666444000000', '666444000000', '666443000000', '667433000000', '676333002001', '766333022012']"
8,"['667333102101', '676334022012', '766344223121', '666443234211']"
4,"['676334122111', '766343220110', '666434200100', '6616344000000', '6166443003001', '1667433033011', '676333333111', '766334330110', '667343300100', '676433004001']"
6,"['686333102101', '866333022011', '668333220110', '686333203101']"
6,"['666333122111', '666333222111', '668333220110', '686334200100', '866344000000', '666444000000', '666444000000', '668443000000', '686433003001', '866333033011', '666333333111', '666333334111']"
4,"['666334100100', '667343002001', '676433022011', '766333220110', '666333203101']"
8,"['666344122111', '666443220110', '667433203101', '676334033011', '766343334111']"
4,"['666332100100', '666322000000', '666223002001', '666233022011', '666332220110', '666322200100', '666223003001']"
9,"['667333100100', '676334000000', '766344000000', '666444000000', '666443000000', '666433000000', '666333002001']"
5,"['668333100100', '686333002001', '866333022011', '666334220110', '667344200100', '6716444000000', '7166443003001']"
6,"['686334100100', '866344000000', '668444000000', '686444000000', '867443002001']"
3,"['676333100100', '767333000000', '676333002001', '767333022011', '676333223111']"
4,"['666343100100', '666434000000', '666344000000', '666443002001']"
4,"['666334100100', '666344002001', '666444022011', '666443222112']"
4,"['666334100100', '668343000000', '686433000000', '866333002001', '666334022011', '666343223111']"
5,"['668333100100', '686333002001', '866334022011', '666343220110', '666433200100', '666333003001']"
6,"['686333102101', '866333022011', '666333220110', '667333200100', '676333003001']"
5,"['668333100100', '686334002001', '866344022011', '666443220110', '667433200100', '676333003001']"
9,"['667333100100', '676334000000', '766344000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443000000', '676433000000', '766333002001']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '667443002001']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '667443002001', '676433022012']"
4,"['666333100100', '666333000000', '666333002001', '666333022011', '666333220110', '667333200100', '677333003001', '776333033012']"
9,"['676333100100', '766334000000', '666344000000', '666444000000', '666444000000', '666444000000', '666444000000', '666443000000', '667433000000', '676333002001']"
4,"['676333100100', '766334000000', '666343000000', '666434000000', '666343000000', '667433000000', '676333002001']"
9,"['667343100100', '676433000000', '766334000000', '666344000000', '666443002001']"
7,"['676333111211', '766333111111', '666334110110', '666343102101']"
5,"['668333100100', '686334000000', '866343002001', '666433022011', '666333222111', '666333222111', '666334220110', '667343200100', '676434000000', '766344000000', '666444000000', '668444000000', '686444000000', '866443003001']"
6,"['6166344100100', '1666444000000', '668444000000', '686444000000', '866444000000', '6616444000000', '6166443002001']"
7,"['667343102101', '676433022011', '766334222112', '666344223122', '666443233221', '667433333211', '676334330110', '766343304101']"
6,"['668333110210', '686334100100', '866344000000', '666444000000', '666443000000', '667433000000', '677333000000', '776333000000', '766333002001']"
4,"['666333100100', '666333002001', '666333022011', '667333220110', '676333203101', '766333033011', '666333334111']"
9,"['676333100100', '766334002001', '666344022011', '666443223111']"
4,"['666334100100', '666344000000', '667443002001']"
4,"['666334100100', '666344000000', '667443002001', '676433022012']"
6,"['6168354100100', '1686544000000', '866444000000', '667443000000', '676433002001']"
6,"['6815334100100', '8156344000000', '15615445000000', '6156453002001']"
5,"['668343100100', '686433000000', '866333002001', '666333022011', '666332220110', '666322200100', '666223003001']"
4,"['666334100100', '6615345000000', '6156453002001']"
5,"['668343100100', '686433000000', '866334000000', '666344000000', '666443002001']"
6,"['6168354100100', '1686544000000', '866444000000', '666443002001']"
7,"['666343122111', '667433222111', '676334220110', '766344200100', '666443003001']"
5,"['666343100100', '668433000000', '686334000000', '866344000000', '667443002001']"
1,"['6815335102101', '8157354022011', '1577543222111', '776433222111', '767333222111', '677334222111', '7715345222111', '7158453220110', '1586533203101']"
3,"['676333100100', '767333000000', '676333002001']"
4,"['666333102101', '666333022011', '666333220110', '666333203101', '666333033012']"
5,"['666343122111', '666433220110', '668333200100', '686334000000', '866343003001']"
9,"['667333100100', '676333000000', '767333000000', '676334000000', '766344000000', '667443000000', '676433000000', '767333000000', '676333000000', '766333002001']"
9,"['666344110210', '666443100100', '667433000000', '676334000000', '766343002001']"
5,"['666333111321', '666334110210', '666343100100', '668433000000', '686333002001', '866333022011', '667333223111', '676333233111', '766333333112', '666333333123', '666333334233']"
5,"['666333111321', '666334110210', '666343100100', '668433000000', '686333002001', '866333022011', '667333223111', '676333233111', '766333333112']"
5,"['666333111332', '666333112321', '666334120210', '666343200100', '668433000000', '686333003001', '866333033011', '667333334111', '676333344111', '766333444112']"
5,"['666343100100', '668433000000', '686333002001', '866333022011', '667333223111', '676333233111', '766333333112']"
5,"['666343100100', '668433000000', '686333002001', '866333022011', '667333223111']"
5,"['666334110210', '666343100100', '668433000000', '686333002001', '866333022011', '667333223111', '676333233111', '766333333112']"
5,"['666334110210', '666343100100', '668433000000', '686333002001', '866333022011', '667333223111']"
6,"['6815334100100', '8157343000000', '1576433002001']"
0,"['667333100100', '676333000000', '768333000000', '686334000000', '866343002001']"
3,"['676333100100', '767333000000', '676333000000', '766333000000', '666333002001']"
5,"['666343100100', '668433000000', '686334002001', '866344022011', '6634444220110', '6346443203101']"
4,"['666333102101', '666334022011', '666343223111']"
6,"['666333122111', '666333222111', '666333222111', '668333220110', '686334200100', '866343000000', '666433003001', '666333033011', '666333333111', '666333333111', '666333334111']"
6,"['686334100100', '866343000000', '666433002001']"
6,"['666333122111', '666333222111', '668333220110', '686334200100', '866344000000', '668443000000', '686433003001', '866333033011', '666333333111', '666333334111']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443002001', '676433022012']"
0,"['668343100100', '686433000000', '867333000000', '676334000000', '766344002001', '666444022011', '666443220110', '666433200100', '666333003001']"
9,"['667333100100', '676334000000', '766344000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443000000', '676433002001']"
9,"['667333100100', '676334000000', '766344000000', '667443000000', '676433000000', '766333002001', '667333022011', '676333222112']"
9,"['667333100100', '676334000000', '766344000000', '667443000000', '676433000000', '766333002001']"
6,"['686334111211', '866344110110', '667443102101']"
4,"['666332100100', '666322000000', '666224002001', '666243020010', '666432200100', '666323003001', '666233033012']"
4,"['666333100100', '666334002001', '666343022012']"
5,"['668333111211', '686334111112', '866344111122', '667444111221', '676444110210', '766443102101']"
4,"['666334102101', '666343022011', '666433223111']"
6,"['668343100100', '686433002002', '866333022022', '6616334222221', '6166343222212']"
4,"['666333100100', '6616334000000', '6166343002001']"
6,"['686334100100', '866344000000', '667443002001']"
5,"['668333100100', '686334000000', '866344000000', '666443000000', '666433000000', '666334002001', '666344022012', '666443223122']"
9,"['667333110210', '676333100100', '766334002001', '666344022011', '666443220110', '666433200100', '666333003001']"
8,"['667343122111', '676433220110', '766334200100', '666344000000', '667443000000', '676433003001']"
6,"['676334122111', '768343220110', '686433203101', '866334033012', '667343334121', '676433345211']"
6,"['668344100100', '686444000000', '866444000000', '667443002001', '676433022011', '766334222111', '666343222112']"
9,"['666333122111', '667333220110', '676333200100', '766333003001', '666333033011', '666333333111', '666333330110', '667333300100', '676333004001', '766333044011', '666333445111']"
5,"['668333100100', '686333002001', '866333022011', '666333220110', '666333200100', '666334003002', '666343033022']"
5,"['668333100100', '686333002001', '866333022011', '666333220110', '666333200100', '666334003002', '666343033022', '667433334221', '676333344212']"
6,"['668344100100', '687443000000', '876433000000', '766333002001']"
5,"['668333100100', '686333002001', '866333022012', '666334223121', '668343230210', '686433300100', '866333004001']"
5,"['666343120110', '668433200100', '686334000000', '866343000000', '668433000000', '686334000000', '866343003001']"
6,"['61414344100100', '14148444000000', '14814444000000', '81414444000000', '14146443002001']"
6,"['668344100100', '686444000000', '866444000000', '666443000000', '667433002001']"
8,"['766334100100', '667344000000', '676444000000', '766443002001']"
6,"['666333122111', '666333222111', '666333222111', '668333220110', '686334200100', '866344000000', '666444000000', '668443000000', '686433003001', '866333033011', '666333333111', '666333333111', '666333334111']"
6,"['686334100100', '866344000000', '666444000000', '668443000000', '686433002001']"
6,"['686334111211', '866344110110', '6616444100100', '6166443002001']"
3,"['676333100100', '767333000000', '676333002001', '766333022011', '667333220110', '676333200100', '767333000000', '676333003001']"
6,"['6168354100100', '1686544002002', '866444022023', '668444222232', '686444222323', '866443223231']"
9,"['6156344100100', '1566444000000', '667443000000', '676433000000', '766333002001', '666333022011', '666333220110', '667333200100', '676334000000', '766344000000', '6615444000000', '6156443003001']"
6,"['6815334100100', '8157344000000', '15715444000000', '7158443000000', '1586433002001']"
7,"['667333111211', '676334110110', '766343100100', '666434002001', '666344022011', '666444222111', '666443223111']"
6,"['6815334100100', '8158343000000', '1586433002001']"
6,"['668333110210', '6815334100100', '8158343000000', '1586433002001', '866333022012']"
6,"['6815334100100', '8158343000000', '1586433002001', '866333022012']"
6,"['6815334100100', '8157344000000', '15715445000000', '7156453002001']"
6,"['6168353100100', '1686533002001', '866333022011', '666333223111']"
4,"['666333102101', '666333022011', '667333220110', '676333200100', '766333003001']"
4,"['666333102101', '666333022011', '666333223111', '666333233112']"
6,"['668343100100', '686433002002', '866334022023', '666344222234', '666443223342']"
3,"['667333100100', '677333000000', '776333000000', '767333000000', '677333000000', '776333000000', '766333002001']"
5,"['668333100100', '686334002001', '866344022012', '666444220120', '668443200200', '686433000000', '866333003001']"
5,"['668333100100', '686334000000', '866344002001', '666444022011', '666443223111']"
6,"['668344100100', '686444002001', '866444022011', '668444220110', '686444200100', '866443003001']"
9,"['667333100100', '676333002001', '767333022011', '676333223111']"
9,"['667333100100', '676333002001', '766333022011', '667333220110', '676333200100', '766333003001', '667333033011', '676333333111', '766333330110', '667333300100', '676333004001']"
