,Filename,NumAtoms,crest-hour,crest-min,crest-second,Hours,Minutes,Seconds,Time
0,LORLNLFSVBOEEU-UHFFFAOYSA-N,30,1,20,49,0,0,11.465,11.465
1,LTAXYSYUUJZLKX-JOCHJYFZSA-N,45,1,1,32,0,0,21.169,21.169
2,LCWFIBYPSAWVLI-UHFFFAOYSA-O,23,0,11,45,0,0,2.822,2.822
3,LWHSTSWYXATJQL-UHFFFAOYSA-N,50,1,41,44,0,0,26.244,26.244
4,LLTBRXLPRNJQMH-CUGCHRRJSA-N,58,1,42,58,0,0,40.361,40.361
5,LKXOWYHVOFFRHD-UHFFFAOYSA-N,30,0,53,50,0,0,9.992,9.992
6,LHJYSCZOPGTBDB-KCJUWKMLSA-N,33,0,21,13,0,0,9.086,9.086
7,LNFVPNFLZZTZHD-AWEZNQCLSA-O,31,0,37,43,0,0,7.917999999999999,7.917999999999999
8,LPIZJOKWQHQMLG-DEOSSOPVSA-N,54,0,45,50,0,0,30.648000000000003,30.648000000000003
9,LOECQIDYJHWNDH-CXUHLZMHSA-N,30,0,47,47,0,0,8.287,8.287
10,LVVRLCUKGWLKTB-ULKXIOHRSA-N,48,1,49,37,0,0,29.473000000000003,29.473000000000003
11,LGARJLPXPOJKTJ-HXUWFJFHSA-N,46,1,58,21,0,0,28.378,28.378
12,LAMSWEIWXVOHBU-NTUHNPAUSA-N,28,0,8,36,0,0,6.2,6.2
13,LCLYIYSHXCTJAR-YCHSVXFSSA-N,65,3,27,4,0,1,8.261000000000001,68.26100000000001
14,LTYFNOUKYWRNAG-UHFFFAOYSA-N,49,3,26,12,0,0,32.266999999999996,32.266999999999996
15,LTUDZNNPTYRHPN-VXGBXAGGSA-O,49,3,32,7,0,0,24.392,24.392
16,LEXQVMVFMDFMGZ-STSRJJECSA-N,47,0,41,7,0,0,23.998,23.998
17,LHCXPILOHPAXIN-UHFFFAOYSA-N,18,0,22,1,0,0,3.072,3.072
18,LDNWNCCWHLPTME-FDYHWXHSSA-N,37,0,38,51,0,0,10.614,10.614
19,LVRTXZOTRDCFHT-UHFFFAOYSA-N,41,1,33,23,0,0,15.825,15.825
20,LECSBFGVOGTXGI-UHFFFAOYSA-N,57,5,0,10,0,0,38.781,38.781
21,LHPJANNUQBDRNT-WQLSENKSSA-N,22,0,9,22,0,0,3.045,3.045
22,LXWDDSFOCLWNLP-KKXDTOCCSA-N,44,1,18,39,0,0,19.012999999999998,19.012999999999998
23,LYXOWKPVTCPORE-UHFFFAOYSA-N,34,0,26,15,0,0,9.746,9.746
24,LCPLMOFBXSTXFV-UHFFFAOYSA-N,33,0,23,26,0,0,8.822000000000001,8.822000000000001
25,LUNNPICGDARTPX-UHFFFAOYSA-N,33,0,26,11,0,0,9.85,9.85
26,LVBPKPGPSJMFAT-JTSKRJEESA-N,38,1,22,31,0,0,14.74,14.74
27,LBCIMHAWIRLWHX-UHFFFAOYSA-N,16,0,6,45,0,0,1.642,1.642
28,LJUVUOSWARAIBZ-UHFFFAOYSA-N,31,0,20,21,0,0,8.089,8.089
29,LCZYQUDDKHACKN-MDZRGWNJSA-N,42,2,39,29,0,0,21.613000000000003,21.613000000000003
30,LVNORZPUCYJFQG-UHFFFAOYSA-N,38,1,1,20,0,0,11.175,11.175
31,LCCTWHZBSGQHQU-UHFFFAOYSA-N,45,1,15,2,0,0,19.733,19.733
32,LKDRXBCSQODPBY-KVTDHHQDSA-N,24,0,11,51,0,0,3.31,3.31
33,LWGVYBDRVKIXJW-UHFFFAOYSA-N,25,0,15,42,0,0,6.1,6.1
34,LGCLKSHTUMGKBN-UHFFFAOYSA-N,35,0,49,48,0,0,18.4,18.4
35,LOUPRKONTZGTKE-VPCNSNALSA-O,49,1,14,23,0,0,23.478,23.478
36,LJKPEPJBLNQBBK-UHFFFAOYSA-N,35,0,43,31,0,0,9.7,9.7
37,LKKDASYGWYYFIK-CTHBEMJXSA-N,45,0,30,33,0,0,14.761,14.761
38,LLQBIETUJJELGB-UHFFFAOYSA-N,43,1,10,28,0,0,18.205,18.205
39,LRWIIEJPCFNNCZ-UHFFFAOYSA-N,26,2,17,20,0,0,7.567,7.567
40,LHWMTQZYXFPTFZ-UHFFFAOYSA-N,46,2,53,38,0,0,24.197,24.197
41,LGYDGTUQKFLIFN-IAQYHMDHSA-N,39,0,53,52,0,0,14.54,14.54
42,LRHXCNQEMNDHKY-JCMHNJIXSA-N,41,1,9,26,0,0,19.774,19.774
43,LVRLIPCVDFTUST-CQSZACIVSA-N,36,0,45,11,0,0,11.702,11.702
44,LZRXAUGFBFQQQR-UHFFFAOYSA-N,17,0,5,0,0,0,0.831,0.831
45,LQNIEGYPXQAYLW-LHEWISCISA-N,74,6,17,48,0,1,25.385,85.385
46,LARSUNAAXQAPDG-UHFFFAOYSA-N,26,0,11,31,0,0,4.989,4.989
47,LZSUNRGSCUQEPN-BGYRXZFFSA-N,60,4,43,23,0,0,44.008,44.008
48,LFURXFPTKABKCU-UHFFFAOYSA-N,37,0,36,32,0,0,13.071,13.071
49,LZLVPLIZGHFWJT-LJQANCHMSA-O,50,2,2,52,0,0,26.197,26.197
50,LMVRVKSHWONQAW-NQIIRXRSSA-N,53,2,54,27,0,0,28.354,28.354
51,LHDLPTXPVWISOD-UHFFFAOYSA-N,36,0,19,36,0,0,11.67,11.67
52,LUOUXBAFXIUKCB-UHFFFAOYSA-N,41,1,21,8,0,0,12.167,12.167
53,LHNLNVLXZFGJQW-UHFFFAOYSA-N,35,0,33,36,0,0,9.894,9.894
54,LXDJZIRZLUWTOO-UHFFFAOYSA-N,41,0,52,18,0,0,19.223,19.223
55,LZMRRYRIKGREQH-SECBINFHSA-N,22,0,9,37,0,0,3.088,3.088
56,LYXUARSSFQVOCS-UHFFFAOYSA-N,30,0,21,10,0,0,7.765,7.765
57,LXGORSHJXBOYGL-MSUUIHNZSA-N,35,0,49,38,0,0,9.853,9.853
58,LOBPWBDOZSRNTJ-UHFFFAOYSA-N,37,0,59,54,0,0,12.415999999999999,12.415999999999999
59,LVRVPPYHIKXNNS-ZIAGYGMSSA-N,34,2,8,26,0,0,17.469,17.469
60,LTFWYIIOXUJVQT-UHFFFAOYSA-N,40,1,10,35,0,0,15.252,15.252
61,LDBYSJXCEATVEL-TZIWHRDSSA-N,47,2,17,35,0,0,25.544,25.544
62,LRLGRJYPPWFXLE-JOCHJYFZSA-N,61,3,54,51,0,0,47.716,47.716
63,LACSQGNBLMDNPP-MIZPHKNDSA-N,44,1,39,34,0,0,22.925,22.925
64,LNTBFWIVEQIFKT-LJQANCHMSA-N,38,0,32,52,0,0,16.845,16.845
65,LUMWCRMSIPFQMZ-BETUJISGSA-N,33,0,30,58,0,0,7.611000000000001,7.611000000000001
66,LGCNACYQROYLHL-UHFFFAOYSA-N,23,0,10,17,0,0,3.575,3.575
67,LASKXOBQMPBSAV-UHFFFAOYSA-N,33,0,29,39,0,0,10.033999999999999,10.033999999999999
68,LJWAWQACBBVRCA-WWNPGLIZSA-N,60,7,14,31,0,0,54.825,54.825
69,LANQSLKPKOWKSF-UHFFFAOYSA-O,12,0,1,39,0,0,0.78,0.78
70,LVOASPZGXNAHJI-UHFFFAOYSA-N,21,0,7,3,0,0,2.583,2.583
